timestamp,original_url,status_in_list,wayback_url,fetch_status,saved_file,result
20020112071141,http://cafewoo.net:80/bbs/view.asp?bbsid=106289&ParentID=106289&boradid=7,200,https://web.archive.org/web/20020112071141/http://cafewoo.net:80/bbs/view.asp?bbsid=106289&ParentID=106289&boradid=7,200,downloaded_html/20020112071141_bbsid_106289_board_7_7e34549ff4.html,saved
20020613121525,http://cafewoo.net:80/bbs/view.asp?bbsid=106901&ParentID=106901&boradid=11,200,https://web.archive.org/web/20020613121525/http://cafewoo.net:80/bbs/view.asp?bbsid=106901&ParentID=106901&boradid=11,200,downloaded_html/20020613121525_bbsid_106901_board_11_95b6839bed.html,saved
20020621125635,http://cafewoo.net:80/bbs/view.asp?bbsid=107245&ParentID=107245&boradid=3,200,https://web.archive.org/web/20020621125635/http://cafewoo.net:80/bbs/view.asp?bbsid=107245&ParentID=107245&boradid=3,200,downloaded_html/20020621125635_bbsid_107245_board_3_b484e4e854.html,saved
20020621125656,http://cafewoo.net:80/bbs/view.asp?bbsid=107716&ParentID=107716&boradid=3,200,https://web.archive.org/web/20020621125656/http://cafewoo.net:80/bbs/view.asp?bbsid=107716&ParentID=107716&boradid=3,200,downloaded_html/20020621125656_bbsid_107716_board_3_7c042ea21d.html,saved
20021116224559,http://cafewoo.net:80/bbs/view.asp?bbsid=107900&ParentID=107900&boradid=6,200,https://web.archive.org/web/20021116224559/http://cafewoo.net:80/bbs/view.asp?bbsid=107900&ParentID=107900&boradid=6,200,downloaded_html/20021116224559_bbsid_107900_board_6_ccdaf02065.html,saved
20020613121645,http://cafewoo.net:80/bbs/view.asp?bbsid=108000&ParentID=108000&boradid=11,200,https://web.archive.org/web/20020613121645/http://cafewoo.net:80/bbs/view.asp?bbsid=108000&ParentID=108000&boradid=11,200,downloaded_html/20020613121645_bbsid_108000_board_11_2ea8c137ce.html,saved
20020920064709,http://www.cafewoo.net:80/bbs/view.asp?bbsid=108665&ParentID=108665&boradid=12,200,https://web.archive.org/web/20020920064709/http://www.cafewoo.net:80/bbs/view.asp?bbsid=108665&ParentID=108665&boradid=12,200,downloaded_html/20020920064709_bbsid_108665_board_12_90a578813a.html,saved
20020613121910,http://cafewoo.net:80/bbs/view.asp?bbsid=108924&ParentID=108924&boradid=12,200,https://web.archive.org/web/20020613121910/http://cafewoo.net:80/bbs/view.asp?bbsid=108924&ParentID=108924&boradid=12,200,downloaded_html/20020613121910_bbsid_108924_board_12_f2c44f0204.html,saved
20020920053654,http://www.cafewoo.net:80/bbs/view.asp?bbsid=109271&ParentID=109271&boradid=12,200,https://web.archive.org/web/20020920053654/http://www.cafewoo.net:80/bbs/view.asp?bbsid=109271&ParentID=109271&boradid=12,0,,failed
20020426195911,http://cafewoo.net:80/bbs/view.asp?bbsid=109992&ParentID=109992&boradid=11,200,https://web.archive.org/web/20020426195911/http://cafewoo.net:80/bbs/view.asp?bbsid=109992&ParentID=109992&boradid=11,0,,failed
20020613122734,http://cafewoo.net:80/bbs/view.asp?bbsid=110872&ParentID=110872&boradid=12,200,https://web.archive.org/web/20020613122734/http://cafewoo.net:80/bbs/view.asp?bbsid=110872&ParentID=110872&boradid=12,0,,failed
20020613123557,http://cafewoo.net:80/bbs/view.asp?bbsid=110942&ParentID=110942&boradid=12,200,https://web.archive.org/web/20020613123557/http://cafewoo.net:80/bbs/view.asp?bbsid=110942&ParentID=110942&boradid=12,200,downloaded_html/20020613123557_bbsid_110942_board_12_e43f5dcd3b.html,saved
20020112072443,http://cafewoo.net:80/bbs/view.asp?bbsid=111141&ParentID=111141&boradid=7,200,https://web.archive.org/web/20020112072443/http://cafewoo.net:80/bbs/view.asp?bbsid=111141&ParentID=111141&boradid=7,200,downloaded_html/20020112072443_bbsid_111141_board_7_5b1ddb22d8.html,saved
20011115024533,http://cafewoo.net:80/bbs/view.asp?ParentID=111268&bbsid=111268&boradid=11,200,https://web.archive.org/web/20011115024533/http://cafewoo.net:80/bbs/view.asp?ParentID=111268&bbsid=111268&boradid=11,200,downloaded_html/20011115024533_bbsid_111268_board_11_630fe16b95.html,saved
20030120032409,http://cafewoo.net:80/bbs/view.asp?bbsid=111581&ParentID=111581&boradid=6,200,https://web.archive.org/web/20030120032409/http://cafewoo.net:80/bbs/view.asp?bbsid=111581&ParentID=111581&boradid=6,200,downloaded_html/20030120032409_bbsid_111581_board_6_38951f6204.html,saved
20020424191107,http://cafewoo.net:80/bbs/view.asp?bbsid=111758&ParentID=111758&boradid=12,200,https://web.archive.org/web/20020424191107/http://cafewoo.net:80/bbs/view.asp?bbsid=111758&ParentID=111758&boradid=12,200,downloaded_html/20020424191107_bbsid_111758_board_12_28f951cf7c.html,saved
20011115025620,http://cafewoo.net:80/bbs/view.asp?bbsid=111824&ParentID=111824&boradid=11,200,https://web.archive.org/web/20011115025620/http://cafewoo.net:80/bbs/view.asp?bbsid=111824&ParentID=111824&boradid=11,200,downloaded_html/20011115025620_bbsid_111824_board_11_bd929ba2eb.html,saved
20040103211635,http://cafewoo.net:80/bbs/view.asp?bbsid=112680&ParentID=112680&boradid=10,200,https://web.archive.org/web/20040103211635/http://cafewoo.net:80/bbs/view.asp?bbsid=112680&ParentID=112680&boradid=10,0,,failed
20020424191158,http://cafewoo.net:80/bbs/view.asp?bbsid=113182&ParentID=113182&boradid=12,200,https://web.archive.org/web/20020424191158/http://cafewoo.net:80/bbs/view.asp?bbsid=113182&ParentID=113182&boradid=12,200,downloaded_html/20020424191158_bbsid_113182_board_12_f5d825aa6a.html,saved
20030120032816,http://cafewoo.net:80/bbs/view.asp?bbsid=113667&ParentID=113667&boradid=1,200,https://web.archive.org/web/20030120032816/http://cafewoo.net:80/bbs/view.asp?bbsid=113667&ParentID=113667&boradid=1,0,,failed
20011115032505,http://cafewoo.net:80/bbs/view.asp?bbsid=114864&ParentID=114864&boradid=11,200,https://web.archive.org/web/20011115032505/http://cafewoo.net:80/bbs/view.asp?bbsid=114864&ParentID=114864&boradid=11,200,downloaded_html/20011115032505_bbsid_114864_board_11_c9a4190f95.html,saved
20030822121823,http://cafewoo.net:80/bbs/view.asp?bbsid=115253&ParentID=115253&boradid=1,404,,,,skipped_non_200
